location,month,temp_mean_c,source
fuessen,1940-01,-9.28,ERA5/Open-Meteo
fuessen,1940-02,-2.47,ERA5/Open-Meteo
fuessen,1940-03,0.48,ERA5/Open-Meteo
fuessen,1940-04,5.19,ERA5/Open-Meteo
fuessen,1940-05,10.3,ERA5/Open-Meteo
fuessen,1940-06,13.21,ERA5/Open-Meteo
fuessen,1940-07,14.41,ERA5/Open-Meteo
fuessen,1940-08,13.28,ERA5/Open-Meteo
fuessen,1940-09,11.98,ERA5/Open-Meteo
fuessen,1940-10,7.59,ERA5/Open-Meteo
fuessen,1940-11,1.51,ERA5/Open-Meteo
fuessen,1940-12,-9.0,ERA5/Open-Meteo
fuessen,1941-01,-5.35,ERA5/Open-Meteo
fuessen,1941-02,-0.97,ERA5/Open-Meteo
fuessen,1941-03,1.89,ERA5/Open-Meteo
fuessen,1941-04,3.49,ERA5/Open-Meteo
fuessen,1941-05,7.01,ERA5/Open-Meteo
fuessen,1941-06,14.03,ERA5/Open-Meteo
fuessen,1941-07,16.11,ERA5/Open-Meteo
fuessen,1941-08,14.27,ERA5/Open-Meteo
fuessen,1941-09,10.54,ERA5/Open-Meteo
fuessen,1941-10,6.29,ERA5/Open-Meteo
fuessen,1941-11,0.07,ERA5/Open-Meteo
fuessen,1941-12,-8.5,ERA5/Open-Meteo
fuessen,1942-01,-9.35,ERA5/Open-Meteo
fuessen,1942-02,-6.09,ERA5/Open-Meteo
fuessen,1942-03,3.43,ERA5/Open-Meteo
fuessen,1942-04,5.12,ERA5/Open-Meteo
fuessen,1942-05,10.16,ERA5/Open-Meteo
fuessen,1942-06,13.43,ERA5/Open-Meteo
fuessen,1942-07,15.29,ERA5/Open-Meteo
fuessen,1942-08,15.65,ERA5/Open-Meteo
fuessen,1942-09,14.37,ERA5/Open-Meteo
fuessen,1942-10,10.13,ERA5/Open-Meteo
fuessen,1942-11,-0.71,ERA5/Open-Meteo
fuessen,1942-12,-7.4,ERA5/Open-Meteo
fuessen,1943-01,-4.09,ERA5/Open-Meteo
fuessen,1943-02,-0.78,ERA5/Open-Meteo
fuessen,1943-03,2.92,ERA5/Open-Meteo
fuessen,1943-04,5.87,ERA5/Open-Meteo
fuessen,1943-05,10.58,ERA5/Open-Meteo
fuessen,1943-06,12.36,ERA5/Open-Meteo
fuessen,1943-07,15.45,ERA5/Open-Meteo
fuessen,1943-08,16.84,ERA5/Open-Meteo
fuessen,1943-09,13.1,ERA5/Open-Meteo
fuessen,1943-10,9.51,ERA5/Open-Meteo
fuessen,1943-11,0.36,ERA5/Open-Meteo
fuessen,1943-12,-0.8,ERA5/Open-Meteo
fuessen,1944-01,-2.57,ERA5/Open-Meteo
fuessen,1944-02,-4.31,ERA5/Open-Meteo
fuessen,1944-03,-1.53,ERA5/Open-Meteo
fuessen,1944-04,5.04,ERA5/Open-Meteo
fuessen,1944-05,9.12,ERA5/Open-Meteo
fuessen,1944-06,12.93,ERA5/Open-Meteo
fuessen,1944-07,15.43,ERA5/Open-Meteo
fuessen,1944-08,17.64,ERA5/Open-Meteo
fuessen,1944-09,12.45,ERA5/Open-Meteo
fuessen,1944-10,7.13,ERA5/Open-Meteo
fuessen,1944-11,1.05,ERA5/Open-Meteo
fuessen,1944-12,-3.2,ERA5/Open-Meteo
fuessen,1945-01,-10.12,ERA5/Open-Meteo
fuessen,1945-02,0.39,ERA5/Open-Meteo
fuessen,1945-03,2.0,ERA5/Open-Meteo
fuessen,1945-04,5.68,ERA5/Open-Meteo
fuessen,1945-05,11.11,ERA5/Open-Meteo
fuessen,1945-06,15.06,ERA5/Open-Meteo
fuessen,1945-07,16.71,ERA5/Open-Meteo
fuessen,1945-08,15.38,ERA5/Open-Meteo
fuessen,1945-09,12.65,ERA5/Open-Meteo
fuessen,1945-10,6.57,ERA5/Open-Meteo
fuessen,1945-11,-0.84,ERA5/Open-Meteo
fuessen,1945-12,-5.5,ERA5/Open-Meteo
fuessen,1946-01,-6.95,ERA5/Open-Meteo
fuessen,1946-02,-0.37,ERA5/Open-Meteo
fuessen,1946-03,2.85,ERA5/Open-Meteo
fuessen,1946-04,7.18,ERA5/Open-Meteo
fuessen,1946-05,12.03,ERA5/Open-Meteo
fuessen,1946-06,13.28,ERA5/Open-Meteo
fuessen,1946-07,16.79,ERA5/Open-Meteo
fuessen,1946-08,15.57,ERA5/Open-Meteo
fuessen,1946-09,13.82,ERA5/Open-Meteo
fuessen,1946-10,6.45,ERA5/Open-Meteo
fuessen,1946-11,0.46,ERA5/Open-Meteo
fuessen,1946-12,0.8,ERA5/Open-Meteo
fuessen,1947-01,-8.29,ERA5/Open-Meteo
fuessen,1947-02,-3.98,ERA5/Open-Meteo
fuessen,1947-03,2.5,ERA5/Open-Meteo
fuessen,1947-04,7.3,ERA5/Open-Meteo
fuessen,1947-05,12.52,ERA5/Open-Meteo
fuessen,1947-06,14.93,ERA5/Open-Meteo
fuessen,1947-07,17.41,ERA5/Open-Meteo
fuessen,1947-08,16.66,ERA5/Open-Meteo
fuessen,1947-09,14.53,ERA5/Open-Meteo
